registry,file,publisher,rule_id,category,severity,detection,threat_actor_account
OpenClaw,afrexai-cto/afrexai-compliance-readiness/SKILL.md,afrexai-cto,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,aggel008/analizy-ru/SKILL.md,aggel008,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,aggel008/chinovnik-ru/SKILL.md,aggel008,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,aggel008/dogovor-ru/SKILL.md,aggel008,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,aggel008/nalog-ru/SKILL.md,aggel008,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,aggel008/persona-channel-builder/SKILL.md,aggel008,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,aggel008/pretenziya-ru/SKILL.md,aggel008,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,aggel008/zhkh-ru/SKILL.md,aggel008,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,agnicpay-prog/agnicpay-search-for-service/SKILL.md,agnicpay-prog,ATR-2026-00041,privilege-escalation,medium,Agent Scope Creep Detection,
OpenClaw,ahray/delulu/SKILL.md,ahray,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,aiwithabidi/security-monitor-deploy/SKILL.md,aiwithabidi,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,akhmittra/ctf-writeup-generator/SKILL.md,akhmittra,ATR-2026-00122,skill-compromise,high,Weaponized Skill — Agent as Attack Tool,
OpenClaw,akhmittra/ergocare-coach/SKILL.md,akhmittra,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,alessandroflati/oosmetrics/SKILL.md,alessandroflati,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,alexeyvorobiev/alexey-marketing-growth-playbook/references/email-sequence/SKILL.md,alexeyvorobiev,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,alexeyvorobiev/alexey-marketing-skills/references/email-sequence/SKILL.md,alexeyvorobiev,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,alexhegit/rocm-vllm-deployment/SKILL.md,alexhegit,ATR-2026-00135,skill-compromise,critical,Data Exfiltration URL in Skill Instructions,
OpenClaw,alirezarezvani/agent-designer/SKILL.md,alirezarezvani,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,alirezarezvani/c-level-advisor/org-health-diagnostic/SKILL.md,alirezarezvani,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,alirezarezvani/codebase-onboarding/SKILL.md,alirezarezvani,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,alirezarezvani/information-security-manager-iso27001/SKILL.md,alirezarezvani,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,alirezarezvani/ms365-tenant-manager/SKILL.md,alirezarezvani,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,alirezarezvani/org-health-diagnostic/SKILL.md,alirezarezvani,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,allprogramming9999/master-skills/SKILL.md,allprogramming9999,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,amanbhandula/moltarxiv/docs/SKILL.md,amanbhandula,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,amandiwakar/ai-sentinel/SKILL.md,amandiwakar,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,ambition0802/acp-background-runs/SKILL.md,ambition0802,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,amlyx/web-publish/SKILL.md,amlyx,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,anctro/psyclaw-openclaw-health/SKILL.md,anctro,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,andreasthinks/cline-kanban/SKILL.md,andreasthinks,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,andrelyl/expression-coach/SKILL.md,andrelyl,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,andrewedunn/hallucinatingsplines/SKILL.md,andrewedunn,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,andy27725/prose-andy27725/SKILL.md,andy27725,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,andyxcg/drug-safety-review/SKILL.md,andyxcg,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,andyxinweiminicloud/capability-graph-mapper/SKILL.md,andyxinweiminicloud,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,andyxinweiminicloud/protocol-doc-auditor/SKILL.md,andyxinweiminicloud,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,anishhegde/remote-claw/SKILL.md,anishhegde,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,anmolnagpal/secrets-scanner/SKILL.md,anmolnagpal,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,anugotta/upi-payment-ux-ops/SKILL.md,anugotta,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,arg0/arming-thought/SKILL.md,arg0,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,arn0ld87/fisi/SKILL.md,arn0ld87,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,arnarsson/ssh-essentials/SKILL.md,arnarsson,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,artyomx33/reasoning-personas/SKILL.md,artyomx33,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,ashanzzz/ashanzzz-unraid-xml-generator/SKILL.md,ashanzzz,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,ashanzzz/unraid-xml-generator/SKILL.md,ashanzzz,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,ashish797/founderclaw/cso/SKILL.md,ashish797,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,asif2bd/claude-code-cli-openclaw/SKILL.md,asif2bd,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,assassin808/clawder/SKILL.md,assassin808,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,atlaspa/openclaw-bastion/SKILL.md,atlaspa,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,atlaspa/openclaw-warden/SKILL.md,atlaspa,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,aure-duncan/aurehub-xaut-trade/SKILL.md,aure-duncan,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,austineral/agent-spawner/SKILL.md,austineral,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,authensor/authensor-gateway/SKILL.md,authensor,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,babado800/xiaohongshu-mcp-1-0-0/SKILL.md,babado800,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,bajie-git/ohyesai-music/SKILL.md,bajie-git,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,beardao/emotwin/SKILL.md,beardao,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,beyondbright/walter-agent-factory/SKILL.md,beyondbright,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,bezkom/glab/SKILL.md,bezkom,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,biahd/openclaw-intelligence-broker/skill.md,biahd,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,billyhetech/skill-scanner-v1/SKILL.md,billyhetech,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,bk-cm/clawvitals/SKILL.md,bk-cm,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,bk-cm/securityvitals/SKILL.md,bk-cm,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,bloom-u/doccraft/SKILL.md,bloom-u,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,bobthemom987/kalshi-trader/SKILL.md,bobthemom987,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,boner-bbb/musicful-music-generator/SKILL.md,boner-bbb,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,bonesvinyl/bkmrk/SKILL.md,bonesvinyl,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,borye/xiaohongshu-mcp/SKILL.md,borye,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,botcoinmoney/botcoin-miner-skill/SKILL.md,botcoinmoney,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,botmechanic/nexwave-gateway/SKILL.md,botmechanic,ATR-2026-00136,context-exfiltration,critical,Tool Response Data Piggybacking,
OpenClaw,bowtiedbluefin/openclaw-airesearchos/SKILL.md,bowtiedbluefin,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,brennan3/clabcraw/SKILL.md,brennan3,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,brianium/wake-meup-ai/SKILL.md,brianium,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,briefness/goods-images/SKILL.md,briefness,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,brightween/multi-task/SKILL.md,brightween,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,broedkrummen/supermemory-free/SKILL.md,broedkrummen,ATR-2026-00135,skill-compromise,critical,Data Exfiltration URL in Skill Instructions,
OpenClaw,brorlandi/openclaw-youtube-upload/SKILL.md,brorlandi,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,brorlandi/youtube-upload/SKILL.md,brorlandi,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,brothaakhee/superclaw/executing-plans/SKILL.md,brothaakhee,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,bruce-agnet/douyin-video-forge/SKILL.md,bruce-agnet,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,brucetangc/clash-proxy/SKILL.md,brucetangc,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,brucetangc/tavily-web-search-full/SKILL.md,brucetangc,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,brunopradof/openclaw-shield-upx/SKILL.md,brunopradof,ATR-2026-00135,skill-compromise,critical,Data Exfiltration URL in Skill Instructions,
OpenClaw,brunoscardoso/plan-flow/SKILL.md,brunoscardoso,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,bryantegomoh/content-security-filter/SKILL.md,bryantegomoh,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,brycexbt/secret-safe/SKILL.md,brycexbt,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,buddhasource/payram-mcp-integration/SKILL.md,buddhasource,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,c0ffeeoverdose/prts-sandbox/SKILL.md,c0ffeeoverdose,ATR-2026-00122,skill-compromise,high,Weaponized Skill — Agent as Attack Tool,
OpenClaw,caidongyun/agent-security-dlp/SKILL.md,caidongyun,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,calebwin/clawslist-skill/skill.md,calebwin,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,callxor/postgresql-db/SKILL.md,callxor,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,caoyachao/worldline-choice/SKILL.md,caoyachao,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,captainsvbot/autonomous-github-team/SKILL.md,captainsvbot,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,carolyn0719/feishu-security/SKILL.md,carolyn0719,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,cccaptain0129/task-dispatch/SKILL.md,cccaptain0129,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,ccconan/agent-skills-creator-sn/SKILL.md,ccconan,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,cethum/ondeep-flow/SKILL.md,cethum,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,chandrasekar-r/security-audit/SKILL.md,chandrasekar-r,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,chenguangwu/qclaw-restart/SKILL.md,chenguangwu,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,chenxinbest/avengers-assemble/SKILL.md,chenxinbest,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,chrisochrisochriso-cmyk/clawsec/skill.md,chrisochrisochriso-cmyk,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,chunhualiao/openclaw-docker-setup/SKILL.md,chunhualiao,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,cineglobe/osint-investigator/SKILL.md,cineglobe,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,cizixiu/wolai-api-skill/SKILL.md,cizixiu,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,cizixiu/wolai-mcp-skill/SKILL.md,cizixiu,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,clarezoe/foxcode-openclaw/SKILL.md,clarezoe,ATR-2026-00135,skill-compromise,critical,Data Exfiltration URL in Skill Instructions,
OpenClaw,clawdssen/security-hardening/SKILL.md,clawdssen,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,clawwalletteam/claw-wallet-pro/SKILL.md,clawwalletteam,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,codeninja23/native-sentry/SKILL.md,codeninja23,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,codenova58/live-search/SKILL.md,codenova58,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,cognitae-ai/blacklight/SKILL.md,cognitae-ai,ATR-2026-00164,agent-manipulation,high,Skill Scope Hijacking and Cross-Agent Escalation,
OpenClaw,cohnen/pixcli/SKILL.md,cohnen,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,cohnen/pixcli-skill/SKILL.md,cohnen,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,conn-ho/startup-risk-radar/SKILL.md,conn-ho,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,coorops25/gmailcleaner/mnt/user-data/outputs/openclaw-email-skills-v2/email-reporter/SKILL.md,coorops25,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,cremonix/cremonix-signals/SKILL.md,cremonix,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,crevita/ciso-agent-security/SKILL.md,crevita,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,crewhaus/crewhaus-tools/SKILL.md,crewhaus,ATR-2026-00135,skill-compromise,critical,Data Exfiltration URL in Skill Instructions,
OpenClaw,crispyangles/prompt-crafter/SKILL.md,crispyangles,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,crypticdriver/soul-transfer/SKILL.md,crypticdriver,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,cryptopunk2070/fuku-predictions/SKILL.md,cryptopunk2070,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,cyberash-dev/claude-cost-cli/SKILL.md,cyberash-dev,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,cyberash-dev/claude-usage-cli/SKILL.md,cyberash-dev,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,cyberxuan-xbx/skill-sanitizer/SKILL.md,cyberxuan-xbx,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,d1gl3/gitlab-api/SKILL.md,d1gl3,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,dalomeve/evidence-url-verifier/SKILL.md,dalomeve,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,dalomeve/powershell-reliable/SKILL.md,dalomeve,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,dalomeve/prepublish-privacy-scrub/SKILL.md,dalomeve,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,danielcy/doubao-video-analyzer/SKILL.md,danielcy,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,danielhangan/reelclaw-dansugc/SKILL.md,danielhangan,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,daniellummis/render-env-guard/SKILL.md,daniellummis,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,danieltamas/cloak-env-protection/SKILL.md,danieltamas,ATR-2026-00162,context-exfiltration,critical,Credential Access with Exfiltration in Skill Instructions,
OpenClaw,dank-varley/operation-quarantine/SKILL.md,dank-varley,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,danlct27/eli-prompt-guard/SKILL.md,danlct27,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,danlct27/eli-prompt-guard/SKILL.md,danlct27,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,danlct27/openclaw-dlp-guard/SKILL.md,danlct27,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,danlct27/openclaw-dlp-guard/SKILL.md,danlct27,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,darryek/tavily-search-darry/research/SKILL.md,darryek,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,davida-ps/clawtributor/SKILL.md,davida-ps,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,davidajohnston/everclaw-inference/security/bagman/SKILL.md,davidajohnston,ATR-2026-00150,context-exfiltration,critical,Credential Data Leaked in Tool Response,
OpenClaw,davidajohnston/everclaw-inference/security/bagman/SKILL.md,davidajohnston,ATR-2026-00135,skill-compromise,critical,Data Exfiltration URL in Skill Instructions,
OpenClaw,davidajohnston/everclaw-inference/security/prompt-guard/SKILL.md,davidajohnston,ATR-2026-00120,skill-compromise,critical,SKILL.md Prompt Injection,
OpenClaw,davidajohnston/everclaw-inference/security/prompt-guard/SKILL.md,davidajohnston,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,davis1216/openclaw-auto-update/SKILL.md,davis1216,ATR-2026-00163,prompt-injection,high,Hidden Override Instructions in Skill Content,
OpenClaw,daxiangnaoyang/daxiang-image-prompt/SKILL.md,daxiangnaoyang,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,daxiangnaoyang/daxiang-memory-optimization/SKILL.md,daxiangnaoyang,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,daxiangnaoyang/routing-optimization/SKILL.md,daxiangnaoyang,ATR-2026-00149,skill-compromise,critical,Skill Data Exfiltration via Compound Patterns,
OpenClaw,daxuz/hiskill/SKILL.md,daxuz,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,dbirulia/documents-ai/SKILL.md,dbirulia,ATR-2026-00135,skill-compromise,critical,Data Exfiltration URL in Skill Instructions,
OpenClaw,dearchenzj/cognitivecoach/skill.md,dearchenzj,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
OpenClaw,deathbyvegemite/sdw-multi-agent-orchestration/SKILL.md,deathbyvegemite,ATR-2026-00052,excessive-autonomy,high,Cascading Failure Detection in Agent Pipelines,
OpenClaw,decrystal/ade-mineru-api-skills/SKILL.md,decrystal,ATR-2026-00135,skill-compromise,critical,Data Exfiltration URL in Skill Instructions,
OpenClaw,deepseekcmo/sales-rhythm-tracker/SKILL.md,deepseekcmo,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,deeqyaqub1-cmd/skillfence/SKILL.md,deeqyaqub1-cmd,ATR-2026-00121,skill-compromise,critical,Malicious Code in Skill Package,
OpenClaw,deeqyaqub1-cmd/skillfence/SKILL.md,deeqyaqub1-cmd,ATR-2026-00119,agent-manipulation,high,Social Engineering Attack via Agent Output,
OpenClaw,dejimarquis/groupon-skill/skill.md,dejimarquis,ATR-2026-00041,privilege-escalation,medium,Agent Scope Creep Detection,
OpenClaw,demegire/imessage-claw-messenger/SKILL.md,demegire,ATR-2026-00135,skill-compromise,critical,Data Exfiltration URL in Skill Instructions,
OpenClaw,deusyu/translate-book/SKILL.md,deusyu,ATR-2026-00097,prompt-injection,critical,CJK Prompt Injection - Expanded Chinese/Japanese/Korean Patterns,
